"fips","cases11.08","deaths11.08","population2019","rate_cases","rate_deaths","rate_fatality"
"01001",2283,30,55869,4086.34484239918,53.6970412930248,1.31406044678055
"01003",7226,83,223234,3236.96211150631,37.1807161991453,1.14862994741212
"01005",1095,9,24686,4435.71254962327,36.4579113667666,0.821917808219178
"01007",926,16,22394,4135.03617040279,71.4477092078235,1.72786177105832
"01009",2297,26,57826,3972.26161242348,44.9624736277799,1.13191118850675
"01011",664,17,10101,6573.60657360657,168.300168300168,2.56024096385542
"01013",1052,41,19448,5409.29658576717,210.818593171534,3.89733840304183
"01015",5181,67,113605,4560.5387086836,58.9762774525769,1.29318664350511
"01017",1485,48,33254,4465.62819510435,144.343537619534,3.23232323232323
"01019",840,15,26196,3206.59642693541,57.2606504809895,1.78571428571429
"01021",2011,35,44428,4526.42477716755,78.7791482848654,1.74042764793635
"01023",407,12,12589,3232.98117404083,95.3213122567321,2.94840294840295
"01025",1443,18,23622,6108.71221742444,76.2001524003048,1.24740124740125
"01027",816,13,13235,6165.47034378542,98.2244049867775,1.59313725490196
"01029",627,11,14910,4205.23138832998,73.775989268947,1.75438596491228
"01031",1985,12,52342,3792.36559550648,22.9261396201903,0.604534005037783
"01033",2461,33,55241,4455.02434785757,59.7382379030068,1.34091832588379
"01035",605,13,12067,5013.67365542388,107.731830612414,2.14876033057851
"01037",235,3,10663,2203.88258463847,28.1346712932571,1.27659574468085
"01039",1941,32,37049,5239.00780048044,86.372101811115,1.64863472436888
"01041",644,30,13772,4676.15451641011,217.833284925937,4.6583850931677
"01043",3195,27,83768,3814.10562505969,32.2318785216312,0.845070422535211
"01045",2043,55,49172,4154.80354673391,111.852273651672,2.69211943220754
"01047",1986,27,37196,5339.28379395634,72.5884503710076,1.3595166163142
"01049",3896,32,71513,5447.96051067638,44.7471089172598,0.82135523613963
"01051",3454,59,81209,4253.22316492014,72.6520459554975,1.70816444701795
"01053",1829,31,36633,4992.76608522371,84.6231539868425,1.69491525423729
"01055",4887,58,102268,4778.62087847616,56.7137325458599,1.18682218129732
"01057",664,15,16302,4073.11986259355,92.0132499079867,2.25903614457831
"01059",2250,34,31362,7174.28735412282,108.411453351189,1.51111111111111
"01061",1025,8,26271,3901.64059228807,30.4518290129801,0.780487804878049
"01063",361,17,8111,4450.74590062878,209.591912217976,4.70914127423823
"01065",825,30,14651,5631.01494778513,204.764179919459,3.63636363636364
"01067",777,6,17205,4516.12903225806,34.87358326068,0.772200772200772
"01069",4485,36,105882,4235.84745282484,34.0001133337111,0.802675585284281
"01071",2476,22,51626,4796.03300662457,42.6141866501375,0.888529886914378
"01073",25827,403,658573,3921.66092445333,61.1929125548724,1.56038254539823
"01075",554,7,13805,4013.03875407461,50.7062658457081,1.26353790613718
"01077",2937,47,92729,3167.29394256381,50.685330371297,1.60027238678924
"01079",1003,35,32924,3046.40991374074,106.305430688859,3.48953140578265
"01081",6903,65,164542,4195.2814478978,39.5035917881149,0.941619585687382
"01083",3350,37,98915,3386.74619622909,37.4058535105899,1.1044776119403
"01085",745,29,9726,7659.8807320584,298.169853999589,3.89261744966443
"01087",610,20,18068,3376.13460261235,110.692937790569,3.27868852459016
"01089",10358,105,372909,2777.62134998083,28.1570034512441,1.01370921027225
"01091",1095,24,18863,5805.01510894343,127.233207867253,2.19178082191781
"01093",1211,31,29709,4076.20586354303,104.345484533306,2.55986787778695
"01095",4852,53,96774,5013.74336082005,54.7667762002191,1.09233305853256
"01097",17782,328,413210,4303.38084751095,79.3785242370707,1.84456191654482
"01099",692,10,20733,3337.67423913568,48.2322866927121,1.44508670520231
"01101",11119,219,226486,4909.35422056993,96.6947184373427,1.96960158287616
"01103",4877,40,119679,4075.06747215468,33.4227391605879,0.820176337912651
"01105",618,6,8923,6925.92177518772,67.241958982405,0.970873786407767
"01107",994,18,19930,4987.45609633718,90.3161063723031,1.81086519114688
"01109",1429,14,33114,4315.39530108111,42.2781904934469,0.979706088173548
"01111",890,18,22722,3916.90872282369,79.21837866385,2.02247191011236
"01113",2022,3,57961,3488.55264746985,5.17589413571194,0.148367952522255
"01115",3477,52,89512,3884.39538832782,58.0927696845116,1.49554213402358
"01117",8251,71,217702,3790.04327015829,32.6133889445205,0.860501757362744
"01119",509,21,12427,4095.92017381508,168.98688339905,4.12573673870334
"01121",2941,40,79978,3677.26124684288,50.0137537822901,1.36008160489629
"01123",1476,87,40367,3656.45205241905,215.522580325513,5.89430894308943
"01125",11205,146,209355,5352.15304148456,69.7380048243414,1.30298973672468
"01127",3141,96,63521,4944.82139764802,151.131121991153,3.05635148042025
"01129",812,12,16326,4973.66164400343,73.5023888276369,1.47783251231527
"01131",591,12,10373,5697.48385230888,115.684951315916,2.03045685279188
"01133",1039,14,23629,4397.13910872233,59.2492276439968,1.34744947064485
"02013",9,0,3337,269.703326341025,0,0
"02016",11,0,5634,195.243166489173,0,0
"02020",9954,51,288000,3456.25,17.7083333333333,0.512356841470766
"02050",666,1,18386,3622.32133144784,5.43892091808985,0.15015015015015
"02060",0,0,836,0,0,0
"02068",29,0,2097,1382.92799237005,0,0
"02070",47,0,4916,956.061838893409,0,0
"02090",2461,16,96849,2541.06908692914,16.5205629381821,0.650142218610321
"02100",9,0,2530,355.731225296443,0,0
"02105",32,0,2148,1489.75791433892,0,0
"02110",563,3,31974,1760.80565459436,9.38262338149747,0.532859680284192
"02122",1177,4,58708,2004.83750085167,6.81338148122913,0.339847068819031
"02130",113,0,13901,812.891158909431,0,0
"02150",99,0,12998,761.655639329128,0,0
"02158",327,0,8314,3933.12484965119,0,0
