"","spring","summer","fall"
"RuralCont1","0.74 (0.69, 0.79)","0.88 (0.83, 0.93)","1.40 (1.32, 1.47)"
"RuralCont0","0.76 (0.69, 0.85)","0.77 (0.70, 0.83)","1.78 (1.66, 1.91)"
"scale(lognonWhite)","1.87 (1.79, 1.95)","1.02 (0.98, 1.05)","0.82 (0.80, 0.85)"
"scale(WNWSeg)","1.12 (1.07, 1.16)","1.05 (1.01, 1.09)","1.03 (1.00, 1.06)"
"scale(SES)","1.15 (1.10, 1.21)","1.44 (1.38, 1.49)","1.07 (1.03, 1.11)"
"scale(Comorbidities)","1.15 (1.09, 1.20)","1.23 (1.17, 1.28)","1.21 (1.16, 1.25)"
